Alaa,Abdelnaby,-1.5
Zaid,Abdul-Aziz,2.7
Kareem,Abdul-Jabbar,85.7
Mahmoud,Abdul-Rauf,4.5
Tariq,Abdul-Wahad,-1.2
Shareef,Abdur-Rahim,21.9
Tom,Abernethy,3.0
Forest,Able,0
John,Abramovic,0
Álex,Abrines,0.1
Alex,Acker,-0.2
Don,Ackerman,0
Mark,Acres,-1.9
Bud,Acton,0
Quincy,Acy,-0.1
Alvan,Adams,33.0
Don,Adams,0.1
George,Adams,1.0
Hassan,Adams,0.0
Jaylen,Adams,-0.2
Jordan,Adams,0.2
Michael,Adams,19.9
Steven,Adams,8.6
Rafael,Addison,-2.5
Bam,Adebayo,5.6
Deng,Adel,-0.3
Rick,Adelman,0.3
Jeff,Adrien,-0.1
Arron,Afflalo,2.4
Maurice,Ager,-0.9
Mark,Aguirre,24.4
Blake,Ahearn,-0.2
Danny,Ainge,21.9
Matthew,Aitch,0
Alexis,Ajinça,-0.8
Henry,Akin,0
Josh,Akognon,0.0
DeVaughn,Akoon-Purcell,0.0
Solomon,Alabi,-0.1
Mark,Alarie,-0.5
Gary,Alcorn,0
Furkan,Aldemir,-0.2
Cole,Aldrich,1.8
LaMarcus,Aldridge,32.4
Chuck,Aleksinas,-1.0
Cliff,Alexander,0.0
Cory,Alexander,0.4
Courtney,Alexander,-1.7
Gary,Alexander,-0.1
Joe,Alexander,-0.3
Victor,Alexander,-0.3
Nickeil,Alexander-Walker,-0.4
Steve,Alford,0.4
Rawle,Alkins,-0.2
Bill,Allen,0
Bob,Allen,0
Grayson,Allen,-0.5
Jarrett,Allen,4.0
Jerome,Allen,-0.4
Kadeem,Allen,0.2
Lavoy,Allen,-0.1
Lucius,Allen,6.3
Malik,Allen,-3.3
Randy,Allen,-0.7
Ray,Allen,57.6
Tony,Allen,10.4
Willie,Allen,0
Odis,Allison,0
Lance,Allred,0.0
Darrell,Allums,-0.3
Morris,Almond,-0.4
Derrick,Alston,-0.5
Rafer,Alston,9.6
Peter,Aluma,0.0
John,Amaechi,-4.2
Ashraf,Amaya,-1.0
Al-Farouq,Aminu,6.6
Lou,Amundson,-2.1
Bob,Anderegg,0
Chris,Andersen,9.2
David,Andersen,-0.3
Alan,Anderson,-0.9
Andrew,Anderson,0
Antonio,Anderson,0.0
Cliff,Anderson,0
Dan,Anderson,0
Dan,Anderson,0.1
Derek,Anderson,13.5
Dwight,Anderson,0.0
Eric,Anderson,-0.1
Greg,Anderson,-3.7
J.J.,Anderson,0.0
James,Anderson,-0.8
Jerome,Anderson,-0.1
Justin,Anderson,0.6
Kenny,Anderson,21.9
Kim,Anderson,-0.4
Kyle,Anderson,6.2
