268.1 Kevin Garnett, Kevin Durant, Kevin Johnson, Kevin McHale, Kevin Love
252.1 LeBron James, James Harden, James Worthy, James Posey, James Silas
238.1 Chris Paul, Paul Pierce, Paul George, Paul Millsap, Paul Westphal
214.1 Chris Paul, Chris Webber, Chris Mullin, Chris Bosh, Chris Morris
205.1 Michael Jordan, Michael Finley, Michael Redd, Michael Adams, Michael Cooper
199.1 Magic Johnson, Kevin Johnson, Marques Johnson, Joe Johnson, Dennis Johnson
186.1 John Stockton, John Wall, John Lucas, John Drew, John Starks
165.1 David Robinson, David West, David Thompson, David Lee, David Wesley
165.1 Larry Bird, Larry Nance, Larry Johnson, Larry Kenon, Larry Hughes
149.1 Reggie Miller, Andre Miller, Brad Miller, Mike Miller, Oliver Miller
148.1 Jason Kidd, Jason Terry, Jason Richardson, Jason Williams, Jason Hart
148.1 Michael Jordan, DeAndre Jordan, Jordan Clarkson, Jordan Farmar, Eddie Jordan
142.1 Tim Duncan, Tim Hardaway, Tim Thomas, Tim Hardaway, Tim Legler
137.1 David Robinson, Clifford Robinson, Glenn Robinson, Nate Robinson, Cliff Robinson
133.1 Ray Allen, Allen Iverson, Tony Allen, Allen Leavell, Lucius Allen
126.1 Anthony Davis, Baron Davis, Walter Davis, Dale Davis, Brad Davis
125.1 Gus Williams, Deron Williams, Lou Williams, Buck Williams, Hot Rod Williams
125.1 George Gervin, Paul George, George McGinnis, George Hill, George Johnson
124.1 Steve Nash, Steve Smith, Steve Francis, Steve Mix, Steve Kerr
122.1 Terry Porter, Jason Terry, Terry Cummings, Terry Tyler, Terry Mills
116.1 Anthony Davis, Carmelo Anthony, Anthony Mason, Greg Anthony, Anthony Peeler
114.1 Reggie Miller, Reggie Theus, Reggie Lewis, Reggie Williams, Reggie Jackson
111.1 Charles Barkley, Charles Oakley, Charles Smith, Charles Jones, Charles Dudley
110.1 Mark Jackson, Mark Price, Mark Aguirre, Mark Eaton, Mark Olberding
106.1 Eddie Jones, Bobby Jones, Caldwell Jones, Damon Jones, James Jones
103.1 Bob Lanier, Bob McAdoo, Bob Dandridge, Bob Gross, Bob Sura
101.1 Mike Conley, Mike Bibby, Mike Miller, Mike Dunleavy, Mike Gminski
98.1 Grant Hill, Horace Grant, Grant Long, Brian Grant, Harvey Grant
97.1 Rasheed Wallace, Ben Wallace, Gerald Wallace, Red Wallace, Wallace Bryant
93.1 Josh Smith, Steve Smith, Randy Smith, J.R. Smith, Kenny Smith
92.1 Andre Iguodala, Andre Miller, Andre Drummond, Andre Roberson, Andre Spencer
92.1 Sam Perkins, Sam Cassell, Sam Lacey, Sam Bowie, Sam Vincent
86.1 Kobe Bryant, Bryant Stith, Thomas Bryant, Em Bryant, Wallace Bryant
86.1 Robert Parish, Robert Horry, Robert Reid, Robert Covington, Robert Pack
85.1 Julius Erving, Julius Randle, Julius Keye, Julius Hodge, Julius Nwosu
